Altium Designer Pick and Place Locations
C:\Users\hongweil\Documents\Altium\Projects\Patchkeeper\Patchkeeper_V2.0\Project Outputs for PatchKeeper_V2.0\Pick Place for Patchkeeper_V2.0_b(Variant ECG_FPC_Connector PatchKeeper_V2.0).csv

========================================================================================================================
File Design Information:

Date:       12/12/22
Time:       17:54
Revision:   64c7949dcf028f141de1b1abefa4bc90594f2c26
Variant:    Variant ECG_FPC_Connector PatchKeeper_V2.0
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P2","1054500101","BottomLayer","USB_AMPHENOL_12401899E412A","2.8800","33.6900","90","CONN RCP USB3.1 TYPEC 24P SMD RA"
"R10","","TopLayer","RESC1005X40X25LL05T05","2.8500","10.9750","180","Chip Resistor, 0 Ohm, +/- 5%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R56","5.1K 5% 0402(1005)","TopLayer","RESC1005X40X25LL05T05","1.5760","32.9740","0","5.1K 0.063W 5% 0402 (1005 Metric)  SMD"
"R57","5.1K 5% 0402(1005)","TopLayer","RESC1005X40X25LL05T05","1.5690","31.8650","0","5.1K 0.063W 5% 0402 (1005 Metric)  SMD"
"J4","2328702-4","TopLayer","23287024","32.3500","2.5000","90","Connector"
"J1","2328702-6","TopLayer","23287026","32.3500","7.3600","90","Connector"
"R55","0R","TopLayer","RESC1005X40X25LL05T05","1.5750","34.0850","180","Chip Resistor, 0 Ohm, +/- 5%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R54","0R","TopLayer","RESC1005X40X25LL05T05","1.5670","35.2170","180","Chip Resistor, 0 Ohm, +/- 5%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"U11","INMP621ACEZ","TopLayer","MIC_RHLGA-4_(3X4X1MM)","31.8250","21.4596","0","MEMS audio sensor omnidirectional digital microphone"
"C56","CAP 100nF 16V 0402(1005)","TopLayer","CAPC0402(1005)60_L","31.5000","19.2550","180","CAP 100nF 16V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD"
"VR3","LM4050AEM3-2.0/NOPB","BottomLayer","DBZ0003A_L","16.9000","16.7600","90","Precision Micropower Shunt Voltage Reference, 3-pin SOT-23"
"LED","APT1608SRCPRV","TopLayer","LED_0603","6.7230","38.2450","0","LED Super Bright Red, 75 mW, 5 V, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"R53","4k7","TopLayer","RESC0402(1005)_L","22.2500","16.7500","180","Resistor, 0402, ±1%, 0.063W"
"R52","4k7","TopLayer","RESC0402(1005)_L","22.2500","17.7500","180","Resistor, 0402, ±1%, 0.063W"
