Temp(C),Resistance(ohm)
-55,963849
-54.95,960288.78
-54.9,956743.02
-54.85,953211.63
-54.8,949694.57
-54.75,946191.77
-54.7,942703.17
-54.65,939228.7
-54.6,935768.3
-54.55,932321.91
-54.5,928889.47
-54.45,925470.91
-54.4,922066.19
-54.35,918675.22
-54.3,915297.96
-54.25,911934.35
-54.2,908584.32
-54.15,905247.82
-54.1,901924.78
-54.05,898615.15
-54,895318.87
-53.95,892035.88
-53.9,888766.12
-53.85,885509.53
-53.8,882266.06
-53.75,879035.64
-53.7,875818.23
-53.65,872613.77
-53.6,869422.19
-53.55,866243.44
-53.5,863077.47
-53.45,859924.22
-53.4,856783.63
-53.35,853655.66
-53.3,850540.23
-53.25,847437.31
-53.2,844346.83
-53.15,841268.74
-53.1,838202.99
-53.05,835149.53
-53,832108.29
-52.95,829079.23
-52.9,826062.29
-52.85,823057.43
-52.8,820064.58
-52.75,817083.7
-52.7,814114.73
-52.65,811157.62
-52.6,808212.33
-52.55,805278.8
-52.5,802356.97
-52.45,799446.8
-52.4,796548.24
-52.35,793661.24
-52.3,790785.75
-52.25,787921.71
-52.2,785069.08
-52.15,782227.81
-52.1,779397.84
-52.05,776579.14
-52,773771.65
-51.95,770975.32
-51.9,768190.11
-51.85,765415.96
-51.8,762652.84
-51.75,759900.68
-51.7,757159.45
-51.65,754429.1
-51.6,751709.58
-51.55,749000.84
-51.5,746302.83
-51.45,743615.52
-51.4,740938.86
-51.35,738272.79
-51.3,735617.27
-51.25,732972.27
-51.2,730337.72
-51.15,727713.6
-51.1,725099.85
-51.05,722496.42
-51,719903.28
-50.95,717320.38
-50.9,714747.68
-50.85,712185.13
-50.8,709632.69
-50.75,707090.31
-50.7,704557.96
-50.65,702035.58
-50.6,699523.14
-50.55,697020.6
-50.5,694527.91
-50.45,692045.03
-50.4,689571.91
-50.35,687108.52
-50.3,684654.82
-50.25,682210.76
-50.2,679776.3
-50.15,677351.4
-50.1,674936.02
-50.05,672530.12
-50,670133.66
-49.95,667746.6
-49.9,665368.89
-49.85,663000.51
-49.8,660641.4
-49.75,658291.54
-49.7,655950.87
-49.65,653619.36
-49.6,651296.98
-49.55,648983.68
-49.5,646679.43
-49.45,644384.18
-49.4,642097.9
-49.35,639820.54
-49.3,637552.08
-49.25,635292.48
-49.2,633041.69
-49.15,630799.68
-49.1,628566.41
-49.05,626341.85
-49,624125.96
-48.95,621918.69
-48.9,619720.02
-48.85,617529.91
-48.8,615348.33
-48.75,613175.22
-48.7,611010.57
-48.65,608854.33
-48.6,606706.48
-48.55,604566.96
-48.5,602435.75
-48.45,600312.82
-48.4,598198.12
-48.35,596091.63
-48.3,593993.31
-48.25,591903.12
-48.2,589821.03
-48.15,587747.01
-48.1,585681.02
-48.05,583623.02
-48,581573
-47.95,579530.9
-47.9,577496.7
-47.85,575470.37
-47.8,573451.86
-47.75,571441.16
-47.7,569438.22
-47.65,567443.01
-47.6,565455.5
-47.55,563475.67
-47.5,561503.47
-47.45,559538.87
-47.4,557581.84
-47.35,555632.36
-47.3,553690.38
-47.25,551755.88
-47.2,549828.83
-47.15,547909.19
-47.1,545996.94
-47.05,544092.04
